adsh	grp	arc	negative	ptag	pversion	ctag	cversion
0000894189-18-006097	1	6	1	NetExpensesOverAssets	rr/2012	RecoupmentOfPriorFeeWaiver	0000894189-18-006097
0000894189-18-006251	1	10	1	NetExpensesOverAssets	rr/2012	DeferredIncomeTaxExpenseBenefit	0000894189-18-006251
0001104659-18-062069	1	9	1	ExpensesOverAssets	rr/2012	Component1ManagementFeesOverAssets	0001104659-18-062069
0001104659-18-062069	1	10	1	ExpensesOverAssets	rr/2012	Component2ManagementFeesOverAssets	0001104659-18-062069
0001104659-18-062069	1	11	1	ExpensesOverAssets	rr/2012	Component4OtherExpensesOverAssets	0001104659-18-062069
0001193125-18-297565	1	7	1	ExpensesOverAssets	rr/2012	DeferredIncomeTaxExpense	0001193125-18-297565
0001193125-18-325561	1	6	1	NetExpensesOverAssets	rr/2018	FeeWaiverOrReimbursementOverAssetsTwo	0001193125-18-325561
0001193125-18-325572	1	7	1	NetExpensesOverAssets	rr/2018	FeeWaiverOrReimbursementOverAssetsTwo	0001193125-18-325572
0000051931-18-001114	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000088053-18-001098	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000711080-18-000295	1	7	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000711080-18-000316	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000732697-18-000026	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000819118-18-000057	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001623632-18-001466	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001681576-18-000021	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001683863-18-000383	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-006040	1	4	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-006059	1	4	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-006151	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001615774-18-012695	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001623632-18-001332	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001623632-18-001345	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005968	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005987	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005993	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-006033	1	4	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-006035	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-006039	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005704	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005715	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005723	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005781	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005837	1	4	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005924	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005486	1	4	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005490	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005560	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005569	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005701	1	4	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005703	1	4	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005440	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005455	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005459	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005466	1	4	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005484	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005485	1	4	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005349	1	4	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005351	1	4	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005357	1	4	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005358	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005361	1	4	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005405	1	4	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005199	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005215	1	4	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005296	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005327	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005341	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005347	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-004789	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-004836	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-004886	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005077	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005154	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-005160	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001464413-18-000285	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001464413-18-000287	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001464413-18-000295	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001484018-18-000050	1	4	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-004750	1	4	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001580642-18-004785	1	4	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001398344-18-017861	1	7	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001398344-18-017982	1	7	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001398344-18-018166	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001413042-18-000290	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001447346-18-000018	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001464413-18-000281	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001398344-18-016608	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
