adsh	cik	name	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	fye	pdate	effdate	form	filed	accepted	instance	nciks	aciks
0000005138-18-000070	5138	AMERICAN GROWTH FUND INC	US	CO	DENVER	80203	1636 LOGAN STREET		3036260600	US	CO	DENVER	80203	1636 LOGAN STREET		US	MD	846019291			0731	20181130	20181130	485BPOS	20181220	2018-12-20 12:20:00.0	agfi1-20181130.xml	1	
0000005138-18-000072	5138	AMERICAN GROWTH FUND INC	US	CO	DENVER	80203	1636 LOGAN STREET		3036260600	US	CO	DENVER	80203	1636 LOGAN STREET		US	MD	846019291			0731	20181130	20181130	485BPOS	20181220	2018-12-20 12:58:00.0	agfi-20181129.xml	1	
0000030167-18-000013	30167	DREYFUS SUSTAINABLE U.S. EQUITY FUND, INC.	US	NY	NEW YORK	10166	THE DREYFUS CORPORATION	200 PARK AVENUE	2129226400	US	NY	NEW YORK	10166	C/O DREYFUS CORP	200 PARK AVENUE, 7TH FLOOR	US	MD	132691318	DREYFUS THIRD CENTURY FUND, INC	20161220	0531	20180928	20180928	485BPOS	20181004	2018-10-04 08:06:00.0	ck0000030167-20180927.xml	1	
0000051931-18-001101	845376	AMERICAN FUNDS SHORT-TERM TAX-EXEMPT BOND FUND	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FL (MICG)		213-486-9200	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FL (MICG)		US	DE	000000000	TAX EXEMPT MONEY FUND OF AMERICA	19920703	0731	20181001	20181001	485BPOS	20181022	2018-10-22 11:48:00.0	ck0000845376-20180928.xml	1	
0000051931-18-001107	909427	LIMITED TERM TAX EXEMPT BOND FUND OF AMERICA	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FL (MICG)		213-486-9200	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FL (MICG)		US	DE	000000000	INTERMEDIATE TAX EXEMPT BOND FUND OF AMERICA	19930720	0731	20181001	20181001	485BPOS	20181022	2018-10-22 12:18:00.0	ck0000909427-20180928.xml	1	
0000051931-18-001108	50142	TAX EXEMPT BOND FUND OF AMERICA	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FL (MICG)		213-486-9200	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FL (MICG)		US	DE	953401318	TAX EXEMPT BOND FUND OF AMERICA INC	19920703	0731	20181001	20181001	485BPOS	20181022	2018-10-22 12:41:00.0	ck0000050142-20180928.xml	1	
0000051931-18-001109	925950	AMERICAN HIGH-INCOME MUNICIPAL BOND FUND	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FL (MICG)		213-486-9200	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FL (MICG)		US	DE	000000000	AMERICAN HIGH-INCOME MUNICIPAL BOND FUND, INC	20050725	0731	20181001	20181001	485BPOS	20181022	2018-10-22 12:45:00.0	ck0000925950-20180928.xml	1	
0000051931-18-001110	794389	AMERICAN FUNDS TAX EXEMPT SERIES II / CA	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FL (MICG)		213-486-9200	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FL (MICG)		US	DE	954047593	WASHINGTON MUTUAL INVESTORS FUND	20130410	0731	20181001	20181001	485BPOS	20181022	2018-10-22 12:53:00.0	ck0000794389-20180928.xml	1	
0000051931-18-001111	1496999	AMERICAN FUNDS TAX-EXEMPT FUND OF NEW YORK	US	CA	IRVINE	92618	6455 IRVINE CENTER DRIVE		213-486-9501	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FLOOR (GYR)				273101752			0731	20181001	20181001	485BPOS	20181022	2018-10-22 12:59:00.0	ck0001496999-20180928.xml	1	
0000051931-18-001112	50013	INCOME FUND OF AMERICA	US	CA	IRVINE	92618	6455 IRVINE CENTER DRIVE		213-486-9501	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FLOOR (GYR)		US	DE	060867264	INCOME FUND OF AMERICA INC	19920703	0731	20181001	20181001	485BPOS	20181022	2018-10-22 13:04:00.0	ck0000050013-20180928.xml	1	
0000051931-18-001114	729528	AMERICAN FUNDS INSURANCE SERIES	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FL (MICG)		213-486-9200	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FL (MICG)		US	MA	000000000	AMERICAN FUND INSURANCE SERIES	20010829	1231	20181001	20181001	485BPOS	20181022	2018-10-22 14:41:00.0	ck0000729528-20180928.xml	1	
0000051931-18-001192	770161	AMERICAN FUNDS INCOME SERIES	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FL (MICG)		213-486-9200	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FL (MICG)		US	DE	000000000			0831	20181101	20181101	485BPOS	20181121	2018-11-21 10:57:00.0	ck0000770161-20181031.xml	1	
0000051931-18-001193	826813	INTERMEDIATE BOND FUND OF AMERICA	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FL (MICG)		213-486-9200	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FL (MICG)		US	DE	000000000			0831	20181101	20181101	485BPOS	20181121	2018-11-21 11:01:00.0	ck0000826813-20181031.xml	1	
0000051931-18-001195	1496998	AMERICAN FUNDS MORTGAGE FUND	US	CA	IRVINE	92618	6455 IRVINE CENTER DRIVE		213-486-9501	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FLOOR (GYR)				273101898			0831	20181101	20181101	485BPOS	20181121	2018-11-21 12:36:00.0	ck0001496998-20181031.xml	1	
