tag	version	custom	abstract	datatype	iord	tlabel	doc
AcquiredFundFeesAndExpensesBasedOnEstimates	rr/2012	0	0	string	D	Acquired Fund Fees and Expenses, Based on Estimates [Text]	This element represents a statement that "Acquired Fund" (as defined) fees and expenses for the current year are based on estimates.
AcquiredFundFeesAndExpensesBasedOnEstimates	rr/2018	0	0	string	D	Acquired Fund Fees and Expenses, Based on Estimates [Text]	This element represents a statement that "Acquired Fund" (as defined) fees and expenses for the current year are based on estimates.
AcquiredFundFeesAndExpensesOverAssets	rr/2012	0	0	NonNegativePure4Type	D	Acquired Fund Fees and Expenses	Total Annual Fund Operating Expenses.
AcquiredFundFeesAndExpensesOverAssets	rr/2018	0	0	NonNegativePure4Type	D	Acquired Fund Fees and Expenses	Total Annual Fund Operating Expenses.
AmendmentFlag	dei/2012	0	0	boolean	D	Amendment Flag	If the value is true, then the document is an amendment to previously-filed/accepted document.
AmendmentFlag	dei/2014	0	0	boolean	D	Amendment Flag	If the value is true, then the document is an amendment to previously-filed/accepted document.
AmendmentFlag	dei/2018	0	0	boolean	D	Amendment Flag	If the value is true, then the document is an amendment to previously-filed/accepted document.
AnnualFundOperatingExpensesTableTextBlock	rr/2012	0	0	textBlock	D	Annual Fund Operating Expenses [Table]	Contains a command for the SEC Viewer for the role corresponding to OperatingExpensesData.
AnnualFundOperatingExpensesTableTextBlock	rr/2018	0	0	textBlock	D	Annual Fund Operating Expenses [Table]	Contains a command for the SEC Viewer for the role corresponding to OperatingExpensesData.
AnnualReturn2007	rr/2012	0	0	pure	D	Annual Return 2007	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart. When a Multiple Class Fund offers more than one Class in the prospectus, provide annual total returns in the bar chart for only one of those Classes. The Fund can select which Class to include (e.g., the oldest Class, the Class with the greatest net assets).
AnnualReturn2008	rr/2012	0	0	pure	D	Annual Return 2008	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart. When a Multiple Class Fund offers more than one Class in the prospectus, provide annual total returns in the bar chart for only one of those Classes. The Fund can select which Class to include (e.g., the oldest Class, the Class with the greatest net assets).
AnnualReturn2008	rr/2018	0	0	pure	D	Annual Return 2008	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart. When a Multiple Class Fund offers more than one Class in the prospectus, provide annual total returns in the bar chart for only one of those Classes. The Fund can select which Class to include (e.g., the oldest Class, the Class with the greatest net assets).
AnnualReturn2009	rr/2012	0	0	pure	D	Annual Return 2009	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart. When a Multiple Class Fund offers more than one Class in the prospectus, provide annual total returns in the bar chart for only one of those Classes. The Fund can select which Class to include (e.g., the oldest Class, the Class with the greatest net assets).
AnnualReturn2009	rr/2018	0	0	pure	D	Annual Return 2009	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart. When a Multiple Class Fund offers more than one Class in the prospectus, provide annual total returns in the bar chart for only one of those Classes. The Fund can select which Class to include (e.g., the oldest Class, the Class with the greatest net assets).
AnnualReturn2010	rr/2012	0	0	pure	D	Annual Return 2010	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart. When a Multiple Class Fund offers more than one Class in the prospectus, provide annual total returns in the bar chart for only one of those Classes. The Fund can select which Class to include (e.g., the oldest Class, the Class with the greatest net assets).
AnnualReturn2010	rr/2018	0	0	pure	D	Annual Return 2010	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart. When a Multiple Class Fund offers more than one Class in the prospectus, provide annual total returns in the bar chart for only one of those Classes. The Fund can select which Class to include (e.g., the oldest Class, the Class with the greatest net assets).
AnnualReturn2011	rr/2012	0	0	pure	D	Annual Return 2011	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart. When a Multiple Class Fund offers more than one Class in the prospectus, provide annual total returns in the bar chart for only one of those Classes. The Fund can select which Class to include (e.g., the oldest Class, the Class with the greatest net assets).
AnnualReturn2011	rr/2018	0	0	pure	D	Annual Return 2011	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart. When a Multiple Class Fund offers more than one Class in the prospectus, provide annual total returns in the bar chart for only one of those Classes. The Fund can select which Class to include (e.g., the oldest Class, the Class with the greatest net assets).
AnnualReturn2012	rr/2012	0	0	pure	D	Annual Return 2012	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart. When a Multiple Class Fund offers more than one Class in the prospectus, provide annual total returns in the bar chart for only one of those Classes. The Fund can select which Class to include (e.g., the oldest Class, the Class with the greatest net assets).
AnnualReturn2012	rr/2018	0	0	pure	D	Annual Return 2012	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart. When a Multiple Class Fund offers more than one Class in the prospectus, provide annual total returns in the bar chart for only one of those Classes. The Fund can select which Class to include (e.g., the oldest Class, the Class with the greatest net assets).
AnnualReturn2013	rr/2012	0	0	pure	D	Annual Return 2013	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart. When a Multiple Class Fund offers more than one Class in the prospectus, provide annual total returns in the bar chart for only one of those Classes. The Fund can select which Class to include (e.g., the oldest Class, the Class with the greatest net assets).
AnnualReturn2013	rr/2018	0	0	pure	D	Annual Return 2013	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart. When a Multiple Class Fund offers more than one Class in the prospectus, provide annual total returns in the bar chart for only one of those Classes. The Fund can select which Class to include (e.g., the oldest Class, the Class with the greatest net assets).
AnnualReturn2014	rr/2012	0	0	pure	D	Annual Return 2014	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart. When a Multiple Class Fund offers more than one Class in the prospectus, provide annual total returns in the bar chart for only one of those Classes. The Fund can select which Class to include (e.g., the oldest Class, the Class with the greatest net assets).
AnnualReturn2014	rr/2018	0	0	pure	D	Annual Return 2014	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart. When a Multiple Class Fund offers more than one Class in the prospectus, provide annual total returns in the bar chart for only one of those Classes. The Fund can select which Class to include (e.g., the oldest Class, the Class with the greatest net assets).
AnnualReturn2015	rr/2012	0	0	pure	D	Annual Return 2015	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart. When a Multiple Class Fund offers more than one Class in the prospectus, provide annual total returns in the bar chart for only one of those Classes. The Fund can select which Class to include (e.g., the oldest Class, the Class with the greatest net assets).
